;meanBlue;meanRed;sdBlue;skewnessBlue;dfRG;dfRB;dfGB;entropyBlue;energyBlue;contrastBlue;homogeneityBlue;coverage;cloudType
601;160,1080933;136,1658936;56,19703946;-0,92585411;-28,20843506;-23,94219971;4,266235352;-5,676950455;0,00535521;5,4566;0,684520073;0,740234375;2
602;148,5290527;119,9039307;56,98126014;-0,500844967;-32,24908447;-28,62512207;3,623962402;-5,798072688;0,00461141;6,0182;0,658226574;0,431274414;2
603;169,262146;125,9103394;62,68778894;-1,380859539;-42,06561279;-43,35180664;-1,286193848;-6,635104085;0,00258661;32,1544;0,605241464;0,474609375;2
604;166,8150635;110,055603;56,16143427;-1,765800761;-47,66418457;-56,75946045;-9,095275879;-5,748045106;0,00406318;8,0266;0,647624913;0,266296387;2
605;163,2115479;121,8783569;57,88500861;-1,161070834;-37,81072998;-41,33319092;-3,522460938;-5,776366131;0,00488308;5,5286;0,668914898;0,34588623;2
606;155,5001831;70,75024414;55,95065347;-1,161027941;-60,87744141;-84,74993896;-23,87249756;-5,661090896;0,00517716;2,3896;0,736225441;0,116333008;2
607;218,8067627;129,6411743;60,97148871;-2,928713642;-66,94378662;-89,16558838;-22,22180176;-5,365841384;0,01178419;12,1686;0,626668616;0,061828613;2
608;162,4685059;136,019043;57,3003479;-1,433810564;-35,6930542;-26,44946289;9,243591309;-5,946428632;0,00675481;7,1528;0,690131617;0,49621582;2
609;156,7365723;121,5014038;60,39620111;-0,739992046;-38,4486084;-35,23516846;3,213439941;-5,575418906;0,00676441;3,5932;0,701365869;0,332519531;2
610;141,7442627;100,1087036;54,57961412;-0,229540198;-39,15478516;-41,63555908;-2,480773926;-5,241211813;0,00671996;3,9574;0,708941082;0,271484375;2
611;151,6931152;109,4533691;59,12031871;-0,360270285;-40,68768311;-42,23974609;-1,552062988;-5,589382309;0,00550086;4,0748;0,710230432;0,24621582;2
